id_municipio,id_municipio_nome,populacao
1100015,Alta Floresta D'Oeste,16866
1100023,Ariquemes,75727
1100031,Cabixi,4255
1100049,Cacoal,69416
1100056,Cerejeiras,12512
1100064,Colorado do Oeste,12578
1100072,Corumbiara,5988
1100080,Costa Marques,9439
1100098,Espigão D'Oeste,23077
1100106,Guajará-Mirim,28810
1100114,Jaru,40002
1100122,Ji-Paraná,97701
1100130,Machadinho D'Oeste,23477
1100148,Nova Brasilândia D'Oeste,12604
1100155,Ouro Preto do Oeste,28052
1100189,Pimenta Bueno,27586
1100205,Porto Velho,356605
1100254,Presidente Médici,15528
1100262,Rio Crespo,2721
1100288,Rolim de Moura,44638
1100296,Santa Luzia D'Oeste,5956
1100304,Vilhena,74939
1100320,São Miguel do Guaporé,16848
1100338,Nova Mamoré,18868
1100346,Alvorada D'Oeste,10505
1100379,Alto Alegre dos Parecis,8872
1100403,Alto Paraíso,12639
1100452,Buritis,21529
1100502,Novo Horizonte do Oeste,6160
1100601,Cacaulândia,3221
1100700,Campo Novo de Rondônia,6780
1100809,Candeias do Jamari,16716
1100908,Castanheiras,2580
1100924,Chupinguaia,6952
1100940,Cujubim,11130
1101005,Governador Jorge Teixeira,6290
1101104,Itapuã do Oeste,6338
1101203,Ministro Andreazza,5248
1101302,Mirante da Serra,7409
1101401,Monte Negro,9112
1101435,Nova União,4943
1101450,Parecis,3218
1101468,Pimenteiras do Oeste,1621
1101476,Primavera de Rondônia,2417
1101484,São Felipe D'Oeste,4288
1101492,São Francisco do Guaporé,12327
1101500,Seringueiras,8707
1101559,Teixeirópolis,3446
1101609,Theobroma,6455
1101708,Urupá,8565
1101757,Vale do Anari,6077
1101807,Vale do Paraíso,5275
1200013,Acrelândia,10180
1200054,Assis Brasil,5510
1200104,Brasiléia,19134
1200138,Bujari,9375
1200179,Capixaba,7615
1200203,Cruzeiro do Sul,67081
1200252,Epitaciolândia,13824
1200302,Feijó,23873
1200328,Jordão,5374
1200336,Mâncio Lima,13538
1200344,Manoel Urbano,8224
1200351,Marechal Thaumaturgo,11001
1200385,Plácido de Castro,12192
1200393,Porto Walter,6888
1200401,Rio Branco,280125
1200427,Rodrigues Alves,10362
1200435,Santa Rosa do Purus,3818
1200450,Senador Guiomard,16069
1200500,Sena Madureira,30036
1200609,Tarauacá,29000
1200708,Xapuri,13400
1200807,Porto Acre,12231
1300029,Alvarães,10334
1300060,Amaturá,6818
1300086,Anamã,6877
1300102,Anori,11990
1300144,Apuí,15283
1300201,Atalaia do Norte,9440
1300300,Autazes,28280
1300409,Barcelos,12214
1300508,Barreirinha,20596
1300607,Benjamin Constant,24019
1300631,Beruri,13366
1300680,Boa Vista do Ramos,16390
1300706,Boca do Acre,25856
1300805,Borba,22604
1300839,Caapiranga,9465
1300904,Canutama,12328
1301001,Carauari,19740
1301100,Careiro,21927
1301159,Careiro da Várzea,14310
1301209,Coari,48645
1301308,Codajás,16262
1301407,Eirunepé,22293
1301506,Envira,11586
1301605,Fonte Boa,17393
1301654,Guajará,9544
1301704,Humaitá,41173
1301803,Ipixuna,15900
1301852,Iranduba,44405
1301902,Itacoatiara,74821
1301951,Itamarati,6930
1302009,Itapiranga,7173
1302108,Japurá,5577
1302207,Juruá,7316
1302306,Jutaí,15374
1302405,Lábrea,31827
1302504,Manacapuru,72649
1302553,Manaquiri,12106
1302603,Manaus,1578106
1302702,Manicoré,37416
1302801,Maraã,9796
1302900,Maués,40160
1303007,Nhamundá,14087
1303106,Nova Olinda do Norte,18069
1303205,Novo Airão,10709
1303304,Novo Aripuanã,16819
1303403,Parintins,69350
1303502,Pauini,12950
1303536,Presidente Figueiredo,22093
1303569,Rio Preto da Eva,17936
1303601,Santa Isabel do Rio Negro,8908
1303700,Santo Antônio do Içá,17447
1303809,São Gabriel da Cachoeira,33610
1303908,São Paulo de Olivença,19993
1303957,São Sebastião do Uatumã,8017
1304005,Silves,7751
1304062,Tabatinga,43704
1304104,Tapauá,13470
1304203,Tefé,50196
1304237,Tonantins,12090
1304260,Uarini,9558
1304302,Urucará,13460
1304401,Urucurituba,17583
1400027,Amajari,8358
1400050,Alto Alegre,12813
1400100,Boa Vista,304562
1400159,Bonfim,8756
1400175,Cantá,12621
1400209,Caracaraí,14478
1400233,Caroebe,7464
1400282,Iracema,6938
1400308,Mucajaí,12673
1400407,Normandia,7717
1400456,Pacaraima,11525
1400472,Rorainópolis,23215
1400506,São João da Baliza,6327
1400605,São Luiz,5360
1400704,Uiramutã,6976
1500107,Abaetetuba,119970
1500131,Abel Figueiredo,4567
1500206,Acará,42934
1500305,Afuá,25352
1500347,Água Azul do Norte,13195
1500404,Alenquer,48384
1500503,Almeirim,23934
1500602,Altamira,94058
1500701,Anajás,18303
1500800,Ananindeua,383768
1500859,Anapu,22315
1500909,Augusto Corrêa,31788
1500958,Aurora do Pará,17065
1501006,Aveiro,12653
1501105,Bagre,19700
1501204,Baião,39477
1501253,Bannach,3004
1501303,Barcarena,94829
1501402,Belém,1068211
1501451,Belterra,13298
1501501,Benevides,48837
1501576,Bom Jesus do Tocantins,13977
1501600,Bonito,9709
1501709,Bragança,92513
1501725,Brasil Novo,18638
1501758,Brejo Grande do Araguaia,5029
1501782,Breu Branco,33120
1501808,Breves,71656
1501907,Bujaru,17728
1501956,Cachoeira do Piriá,14013
1502004,Cachoeira do Arari,17600
1502103,Cametá,98625
1502152,Canaã dos Carajás,56142
1502202,Capanema,55231
1502301,Capitão Poço,42987
1502400,Castanhal,150090
1502509,Chaves,13833
1502608,Colares,9730
1502707,Conceição do Araguaia,34454
1502756,Concórdia do Pará,19518
1502764,Cumaru do Norte,9619
1502772,Curionópolis,14584
1502806,Curralinho,22969
1502855,Curuá,10084
